filename,path,ra,dec,shape_y,shape_x,pixel_scale_arcsec,cutout_size_arcsec_y,cutout_size_arcsec_x,sky_level,p99_flux,status,reason,std_norm,peak_norm,edge_abs_mean,finite_fraction
0001_150.329073_2.139497_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0001_150.329073_2.139497_acs_I_mosaic_30mas_sci.fits,150.329073,2.139497,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.013445042073726654,0.33938679099082947,accept,passed_basic_qa,0.22377927601337433,2.3063857555389404,0.03597787022590637,1.0
0002_150.054801_2.426702_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0002_150.054801_2.426702_acs_I_mosaic_30mas_sci.fits,150.054801,2.426702,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0019578374922275543,0.14299161732196808,accept,passed_basic_qa,0.24705840647220612,5.0,0.019021911546587944,1.0
0003_150.218429_2.36785_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0003_150.218429_2.36785_acs_I_mosaic_30mas_sci.fits,150.218429,2.36785,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0038163787685334682,0.33541786670684814,accept,passed_basic_qa,0.21891839802265167,3.965155601501465,0.011786920949816704,1.0
0004_150.293615_2.402216_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0004_150.293615_2.402216_acs_I_mosaic_30mas_sci.fits,150.293615,2.402216,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0007584767299704254,0.04080461710691452,accept,passed_basic_qa,0.24366495013237,5.0,0.062310218811035156,1.0
0005_150.300439_2.165881_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0005_150.300439_2.165881_acs_I_mosaic_30mas_sci.fits,150.300439,2.165881,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0010144098196178675,0.033599309623241425,accept,passed_basic_qa,0.27694302797317505,5.0,0.05699937790632248,1.0
0006_149.7983_2.215854_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0006_149.7983_2.215854_acs_I_mosaic_30mas_sci.fits,149.7983,2.215854,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0005115644889883697,0.027693217620253563,accept,passed_basic_qa,0.22443336248397827,3.7722480297088623,0.08209043741226196,1.0
0007_149.825905_2.27702_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0007_149.825905_2.27702_acs_I_mosaic_30mas_sci.fits,149.825905,2.27702,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0020867688581347466,0.18863461911678314,accept,passed_basic_qa,0.21416126191616058,4.534456729888916,0.05360740050673485,1.0
0008_150.110179_2.272575_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0008_150.110179_2.272575_acs_I_mosaic_30mas_sci.fits,150.110179,2.272575,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0015477240085601807,0.03370251879096031,accept,passed_basic_qa,0.24752448499202728,2.8411078453063965,0.10976173728704453,1.0
0009_150.028484_2.13021_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0009_150.028484_2.13021_acs_I_mosaic_30mas_sci.fits,150.028484,2.13021,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.000877107260748744,0.016679920256137848,accept,passed_basic_qa,0.2638942301273346,2.538111448287964,0.12359742075204849,1.0
0010_150.186217_2.556423_acs_I_mosaic_30mas_sci.fits,cosmos_cutouts\fits\0010_150.186217_2.556423_acs_I_mosaic_30mas_sci.fits,150.186217,2.556423,168,168,0.029999998800000004,5.0399997984,5.0399997984,0.0012723378604277968,0.02984078973531723,accept,passed_basic_qa,0.30077314376831055,5.0,0.12406832724809647,1.0
