image_id,fwhm_px,fwhm_arcsec,centroid_offset,kernel_raw_sum,kernel_sum,kernel_min,deconv_ssim
sample1,9.554,1.605,2.608,-0.015913,1.0,0.0,0.6791
sample16,10.119,1.7,2.05,0.924677,1.0,0.0,0.5151
sample18,10.226,1.718,1.635,0.071169,1.0,0.0,0.4973
sample2,10.759,1.807,0.862,0.968325,1.0,0.0,0.4362
sample24,11.105,1.866,2.427,0.208841,1.0,0.0,0.1198
sample27,8.254,1.387,1.108,-0.218651,1.0,0.0,0.7997
sample36,9.78,1.643,1.17,-2.829002,1.0,0.0,0.4341
sample41,9.057,1.522,2.642,-8.612824,1.0,0.0,0.6758
sample44,9.447,1.587,1.243,-2.360456,1.0,0.0,0.6419
sample48,9.085,1.526,0.81,0.276719,1.0,0.0,0.7302
sample50,9.661,1.623,1.904,-0.07275,1.0,0.0,0.5902
