image_id,fwhm_px,fwhm_arcsec,centroid_offset,kernel_raw_sum,kernel_sum,kernel_min,deconv_ssim
101950,2.167,0.364,0.001,1.022913,1.0,0.0,
101965,2.794,0.469,0.0,1.030868,1.0,0.0,
101990,2.938,0.494,0.002,1.020662,1.0,0.0,
102008,3.078,0.517,0.0,0.984172,1.0,0.0,
102029,2.673,0.449,0.001,1.043036,1.0,0.0,
102749,2.947,0.495,0.0,1.026346,1.0,0.0,
102802,2.839,0.477,0.001,1.027461,1.0,0.0,
102832,2.987,0.502,0.001,1.022032,1.0,0.0,
103005,2.655,0.446,0.001,1.038239,1.0,0.0,
103056,2.311,0.388,0.003,1.044974,1.0,0.0,
103328,2.498,0.42,0.002,1.04191,1.0,0.0,
