image_id,fwhm_px,fwhm_arcsec,centroid_offset,kernel_raw_sum,kernel_sum,kernel_min,deconv_ssim
sample1,3.221,0.541,0.026,1.031613,1.0,0.0,0.9563
sample16,3.105,0.522,0.174,1.043318,1.0,0.0,0.9495
sample18,3.048,0.512,0.051,1.051117,1.0,0.0,0.944
sample2,3.317,0.557,0.06,1.0267,1.0,0.0,0.9567
sample24,3.185,0.535,0.119,1.0358,1.0,0.0,0.957
sample27,3.326,0.559,0.095,1.015891,1.0,0.0,0.9485
sample36,2.938,0.494,0.172,1.055381,1.0,0.0,0.9432
sample41,3.372,0.567,0.042,1.024845,1.0,0.0,0.9622
sample44,3.202,0.538,0.046,1.029751,1.0,0.0,0.954
sample48,3.354,0.564,0.148,1.025733,1.0,0.0,0.9557
sample50,3.472,0.583,0.087,1.020426,1.0,0.0,0.9523
